cpu name =I7_5960X based on Haswell micro arch - Haswell-E decline - 4th generation Intel Core
 colidx: add:              6329472 size:           3042000084
 a: add:          15246329968 size:           6084000168
 x: add:          21330330136 size:             12000016
 z: add:          21342330152 size:             12000016
 p: add:          21354330168 size:             12000016
 r: add:          21378330200 size:             12000016
 q: add:          21366330184 size:             12000016
loc(sm) = 0x4fd980e00	loc(add)=0x7fff01979948


 NAS Parallel Benchmarks 3.3 -- CG Benchmark

 Size:    1500000
 Iterations:   100
 Number of active processes:     1
 Number of nonzeroes per row:       21
 Eigenvalue shift: .500E+03
 sampling_check =            0
 sampling_check =            1
 Phase 1: 
loc(sm) = 0x4fd980e00

Starting memory sampling
fd_per_tid = 13
measure->nb_threads=1
33333333fd_per_tid = 13
sm = 0x4fd980e00
stop loc(add)0x4fd980e00

Memory read sampling results
pc=40293c, @=21365757928, src level=L3 Hit, latency=47
pc=402942, @=140733220095368, src level=L1 Hit, latency=149
pc=40293c, @=21360741184, src level=L3 Hit, latency=47
pc=40293c, @=21354369872, src level=L3 Hit, latency=58
pc=402942, @=140733220095368, src level=L1 Hit, latency=314
pc=402936, @=15374944184, src level=LFB Hit, latency=116
pc=402942, @=140733220095368, src level=L1 Hit, latency=142
pc=40293c, @=21357827184, src level=L3 Hit, latency=88
pc=402932, @=71150336, src level=LFB Hit, latency=84
pc=40293c, @=21364978096, src level=L3 Hit, latency=44
pc=402936, @=15376678568, src level=LFB Hit, latency=162
pc=402942, @=140733220095368, src level=L1 Hit, latency=218
pc=402942, @=140733220095368, src level=L1 Hit, latency=229
pc=402936, @=15377779232, src level=LFB Hit, latency=222
pc=40293c, @=21362873808, src level=L3 Hit, latency=41
pc=402936, @=15378477912, src level=LFB Hit, latency=102
pc=402936, @=15378832360, src level=LFB Hit, latency=340
pc=402942, @=140733220095368, src level=L1 Hit, latency=252
pc=402942, @=140733220095368, src level=L1 Hit, latency=194
pc=40293c, @=21363242704, src level=L3 Hit, latency=62
pc=402942, @=140733220095368, src level=L1 Hit, latency=208
pc=40293c, @=21361125480, src level=L3 Hit, latency=42
pc=402942, @=140733220095368, src level=L1 Hit, latency=150
pc=40293c, @=21360451168, src level=L3 Hit, latency=40
pc=40293c, @=21359686200, src level=L3 Hit, latency=42
pc=402936, @=15381955304, src level=LFB Hit, latency=170
pc=402936, @=15382294168, src level=LFB Hit, latency=78
pc=402936, @=15382642376, src level=LFB Hit, latency=207
pc=402936, @=15382991368, src level=LFB Hit, latency=184
pc=402942, @=140733220095368, src level=L1 Hit, latency=212
pc=40293c, @=21355684600, src level=L3 Hit, latency=62
pc=402942, @=140733220095368, src level=L1 Hit, latency=154
pc=40293c, @=21359550392, src level=L3 Hit, latency=53
pc=402936, @=15384713984, src level=L3 Hit, latency=338
pc=40293c, @=21365984560, src level=L3 Hit, latency=42
pc=402936, @=15385397536, src level=LFB Hit, latency=170
pc=402942, @=140733220095368, src level=L1 Hit, latency=243
pc=402936, @=15386098992, src level=LFB Hit, latency=297
pc=402942, @=140733220095368, src level=L1 Hit, latency=154
